rental_rate,film_id,length,rental_duration,title,rating,replacement_cost
5.3,56088,93,5.3,The Show,0.159596,0.16
4.9,10802,128,4.9,Showgirls,17.502375,17.5
7.2,10149,112,7.2,Smoke,5.552946,5.55
5.7,18402,106,5.7,Something to Talk About,3.743212,3.74
5.5,9348,108,5.5,Species,13.492845,13.49
6.6,139408,109,6.6,The Stars Fell on Henrietta,0.913522,0.91
6.8,281,145,6.8,Strange Days,11.223055,11.22
7.6,5967,91,7.6,The Umbrellas of Cherbourg,8.133881,8.13
4.6,79593,99,4.6,The Tie That Binds,1.820419,1.82
6.1,47939,115,6.1,Three Wishes,11.002046,11
6.5,36834,111,6.5,Total Eclipse,4.546552,4.55
6.3,9090,105,6.3,"To Wong Foo, Thanks for Everything! Julie Newmar",7.653446,7.65
5.6,3512,100,5.6,Under Siege 2: Dark Territory,7.490247,7.49
6.4,52856,93,6.4,Unstrung Heroes,2.881689,2.88
6,77350,73,6,Unzipped,0.786023,0.79
6.5,9560,103,6.5,A Walk in the Clouds,9.715639,9.72
5.9,9804,135,5.9,Waterworld,16.885184,16.89
5.1,31611,89,5.1,White Man's Burden,1.834099,1.83
5.9,65796,98,5.9,Wild Bill,8.922139,8.92
6,49805,97,6,The Browning Version,3.727644,3.73
4.9,26258,90,4.9,Bushwhacked,3.287036,3.29
6.7,50797,135,6.7,Burnt by the Sun,2.486073,2.49
7.7,19155,113,7.7,Before the Rain,3.525649,3.53
7.7,76,105,7.7,Before Sunrise,11.304979,11.3
6.2,11017,89,6.2,Billy Madison,6.638116,6.64
4.7,37141,90,4.7,The Babysitter,2.761837,2.76
6.3,9382,115,6.3,Boys on the Side,3.030309,3.03
7.2,6715,97,7.2,The Cure,2.686342,2.69
5.8,18256,95,5.8,Castle Freak,2.26977,2.27
6.5,22625,103,6.5,Circle of Friends,2.605521,2.61
7.4,2292,92,7.4,Clerks,10.513367,10.51
6.3,1909,97,6.3,Don Juan DeMarco,7.438934,7.44
5.9,8984,123,5.9,Disclosure,11.812244,11.81
2.5,61813,0,2.5,Dream Man,0.155859,0.16
5.1,4954,101,5.1,Drop Zone,9.579155,9.58
5.3,62488,0,5.3,Destiny Turns on the Radio,0.710671,0.71
7.1,10531,103,7.1,Death and the Maiden,5.484156,5.48
7.1,11929,132,7.1,Dolores Claiborne,5.8025,5.8
6.5,8467,107,6.5,Dumb and Dumber,9.844558,9.84
7.5,10451,123,7.5,Eat Drink Man Woman,4.860016,4.86
6.5,20156,103,6.5,Exotica,5.378467,5.38
4.3,18395,113,4.3,Exit to Eden,4.322726,4.32
7.3,522,127,7.3,Ed Wood,11.720358,11.72
6.2,397,111,6.2,French Kiss,9.146544,9.15
6.1,10525,101,6.1,Forget Paris,16.236745,16.24
5.6,27985,87,5.6,Far from Home: The Adventures of Yellow Dog,2.657337,2.66
6.7,15789,78,6.7,A Goofy Movie,10.177977,10.18
5,27303,103,5,Hideaway,8.182165,8.18
6.6,21183,96,6.6,Fluke,4.953936,4.95
5.9,10954,111,5.9,Farinelli,8.935058,8.94
3,47867,90,3,Gordy,0.398924,0.4
5,43475,77,5,Gumby: The Movie,0.090452,0.09
5.4,72031,109,5.4,The Glass Shield,1.012197,1.01
7.7,14275,171,7.7,Hoop Dreams,9.47666,9.48
6.9,1024,99,6.9,Heavenly Creatures,9.438042,9.44
6,17207,113,6,Houseguest,2.688562,2.69
6.9,13701,121,6.9,Immortal Beloved,7.983666,7.98
6,14819,100,6,Heavyweights,9.546707,9.55
6,32631,106,6,The Hunted,2.756986,2.76
5.9,11777,100,5.9,I.Q.,5.146352,5.15
7.2,628,123,7.2,Interview with the Vampire,11.970205,11.97
5.2,87729,139,5.2,Jefferson in Paris,1.596058,1.6
4.8,18713,82,4.8,The Jerky Boys,0.748846,0.75
4.7,6280,109,4.7,Junior,6.710215,6.71
6,9061,102,6,Just Cause,9.195256,9.2
4.3,37108,89,4.3,A Kid in King Arthur's Court,5.874511,5.87
5.7,6071,101,5.7,Kiss of Death,7.797512,7.8
8.1,11,121,8.1,Star Wars,42.149697,42.15
7,9587,115,7,Little Women,9.774994,9.77
7.4,19101,97,7.4,A Little Princess,7.731725,7.73
7.4,49980,101,7.4,Ladybird Ladybird,0.84508,0.85
6.6,17961,100,6.6,L'Enfer,1.948315,1.95
6.6,18183,105,6.6,Like Water for Chocolate,4.126083,4.13
7.2,4476,133,7.2,Legends of the Fall,12.199047,12.2
6.1,11008,95,6.1,Major Payne,9.253362,9.25
6.4,47504,98,6.4,Little Odessa,1.861292,1.86
5.7,32325,92,5.7,Mi Vida Loca,1.788829,1.79
4.3,43742,108,4.3,Love Affair,3.290192,3.29
6.4,28313,106,6.4,Losing Isaiah,7.698526,7.7
6.7,11318,107,6.7,The Madness of King George,4.81307,4.81
6.1,3036,123,6.1,Mary Shelley's Frankenstein,14.287753,14.29
5.1,40490,96,5.1,Man of the House,2.558118,2.56
5.2,24070,97,5.2,Mixed Nuts,2.899608,2.9
5.6,8986,108,5.6,Milk Money,3.770115,3.77
6.4,10510,114,6.4,Miracle on 34th Street,5.831622,5.83
5.6,17402,95,5.6,Miami Rhapsody,1.137266,1.14
7,38722,128,7,My Family,3.121288,3.12
6.9,8438,122,6.9,Murder in the First,9.518564,9.52
7,11593,110,7,Nobody's Fool,2.891269,2.89
6.1,1945,112,6.1,Nell,5.930957,5.93
6.9,39310,98,6.9,New Jersey Drive,0.629955,0.63
0,109560,93,0,New York Cop,0.004537,0
4,56428,89,4,Beyond Bedlam,0.426952,0.43
4.6,63105,83,4.6,Nemesis 2 - Nebula,1.466491,1.47
7.4,131957,100,7.4,Nina Takes a Lover,0.769522,0.77
6.9,241,119,6.9,Natural Born Killers,11.226856,11.23
6.4,9058,115,6.4,Only You,4.936761,4.94
7.6,527,99,7.6,Once Were Warriors,4.025276,4.03
4.6,18220,106,4.6,Poison Ivy II: Lily,6.448039,6.45
6.4,6950,127,6.4,Outbreak,13.676444,13.68
8.2,101,110,8.2,Leon: The Professional,20.477329,20.48
6.6,63020,113,6.6,The Perez Family,1.433544,1.43
7,2307,94,7,A Pyromaniac's Love Story,0.463307,0.46
8.3,680,154,8.3,Pulp Fiction,140.950236,140.95
6.4,41478,124,6.4,Panther,7.160149,7.16
6.1,25296,105,6.1,Pushing Hands,1.638622,1.64
6.4,40156,98,6.4,Priest,1.881932,1.88
7.1,11450,133,7.1,Quiz Show,7.772505,7.77
7.4,30304,94,7.4,Picture Bride,1.296912,1.3
7,10452,162,7,Queen Margot,4.405405,4.41
6.2,12106,107,6.2,The Quick and the Dead,7.54701,7.55
6.4,161495,108,6.4,Roommates,3.395867,3.4
5.3,3586,133,5.3,Prêt-à-Porter,6.259433,6.26
7.8,110,99,7.8,Three Colors: Red,7.832755,7.83
7.7,108,98,7.7,Three Colors: Blue,8.843517,8.84
7.3,109,91,7.3,Three Colors: White,6.5898,6.59
7,159185,111,7,"Red Firecracker, Green Firecracker",0.078257,0.08
5.1,36357,85,5.1,Rent-a-Kid,1.155255,1.16
4.7,92769,90,4.7,Relative Fear,0.499601,0.5
5,28033,95,5,Stuart Saves His Family,1.390885,1.39
6.5,22586,89,6.5,The Swan Princess,8.910462,8.91
6.1,14334,97,6.1,The Secret of Roan Inish,1.750481,1.75
5.5,2636,110,5.5,The Specialist,10.388183,10.39
6.8,2164,121,6.8,Stargate,13.328924,13.33
6.3,11395,97,6.3,The Santa Clause,9.665424,9.67
8.5,278,142,8.5,The Shawshank Redemption,51.645403,51.65
7,9905,92,7,Shallow Grave,8.223026,8.22
6,87078,96,6,Suture,1.298224,1.3
7.1,12527,108,7.1,Strawberry and Chocolate,1.777197,1.78
6.7,20306,101,6.7,Swimming with Sharks,5.869261,5.87
6,36614,100,6,The Sum of Us,1.407427,1.41
5.7,27993,91,5.7,Senior Trip,5.05806,5.06
7.7,31439,125,7.7,To Live,5.260627,5.26
5.5,9067,98,5.5,Tank Girl,7.602087,7.6
6.7,9059,92,6.7,Tales from the Crypt: Demon Knight,9.455342,9.46
6.4,193,118,6.4,Star Trek: Generations,8.105708,8.11
5.4,25066,98,5.4,Tales from the Hood,2.86007,2.86
5.8,46797,115,5.8,Tom & Viv,0.704204,0.7
5.6,12122,99,5.6,Village of the Damned,6.529879,6.53
6.8,11381,97,6.8,Tommy Boy,11.971318,11.97
6.1,32636,119,6.1,Vanya on 42nd Street,7.039846,7.04
5.6,36141,99,5.6,The Underneath,2.059771,2.06
6.6,95963,88,6.6,The Walking Dead,0.620873,0.62
7.5,1587,118,7.5,What's Eating Gilbert Grape,10.3919,10.39
5.4,9271,106,5.4,Virtuosity,5.188399,5.19
6.5,2064,103,6.5,While You Were Sleeping,15.783615,15.78
6.3,19855,126,6.3,The War,3.908596,3.91
5.5,60855,87,5.5,Double Happiness,0.372239,0.37
6.9,236,106,6.9,Muriel's Wedding,5.254847,5.25
5.3,48287,94,5.3,The Baby-Sitters Club,2.15805,2.16
6.4,3049,86,6.4,Ace Ventura: Pet Detective,11.247957,11.25
7.2,2759,104,7.2,"The Adventures of Priscilla, Queen of the Desert",8.328596,8.33
6.2,12635,100,6.2,Backbeat,2.487951,2.49
7,10497,139,7,Bitter Moon,11.298195,11.3
7,11382,98,7,Bullets Over Broadway,5.72288,5.72
6.4,9331,141,6.4,Clear and Present Danger,7.513245,7.51
6.4,10731,119,6.4,The Client,15.263829,15.26
6.4,10464,115,6.4,"Corrina, Corrina",6.924689,6.92
6.7,34152,115,6.7,Crooklyn,2.533022,2.53
7.3,9495,102,7.3,The Crow,15.799336,15.8
6.1,29973,128,6.1,Cobb,2.583363,2.58
5,888,91,5,The Flintstones,15.019586,15.02
8.2,13,142,8.2,Forrest Gump,48.307194,48.31
6.6,712,117,6.6,Four Weddings and a Funeral,8.990345,8.99
6.4,16295,127,6.4,Higher Learning,7.817811,7.82
6.3,48992,104,6.3,I Like It Like That,0.289295,0.29
5.3,10879,123,5.3,I Love Trouble,3.570874,3.57
6.1,10660,101,6.1,It Could Happen to You,11.272073,11.27
5.9,10714,111,5.9,The Jungle Book,10.714235,10.71
7.3,41647,180,7.3,"The Wonderful, Horrible Life of Leni Riefenstahl",0.568884,0.57
8,8587,89,8,The Lion King,21.605761,21.61
6,1689,140,6,Little Buddha,5.681522,5.68
6.4,11596,112,6.4,New Nightmare,9.860522,9.86
6.6,854,101,6.6,The Mask,14.13488,14.13
6.6,9359,127,6.6,Maverick,15.050326,15.05
6.3,23333,125,6.3,Mrs. Parker and the Vicious Circle,4.739054,4.74
6.4,36593,83,6.4,The Naked Gun 33⅓: The Final Insult,10.587232,10.59
6.1,12280,112,6.1,The Paper,4.006063,4.01
6.5,2788,99,6.5,Reality Bites,6.514592,6.51
6.4,10427,98,6.4,Red Rock West,5.137903,5.14
5.4,11011,95,5.4,Ri¢hie Ri¢h,6.595255,6.6
4.9,49803,98,4.9,Safe Passage,4.931565,4.93
6.1,8987,111,6.1,The River Wild,10.511241,10.51
6.8,1637,116,6.8,Speed,10.859292,10.86
5.5,15128,99,5.5,Speechless,2.334226,2.33
5.5,8831,99,5.5,Timecop,8.907074,8.91
6.8,36955,141,6.8,True Lies,11.396099,11.4
6,10449,126,6,When a Man Loves a Woman,4.322544,4.32
6,10395,125,6,Wolf,14.063845,14.06
6.5,12160,191,6.5,Wyatt Earp,9.277147,9.28
4.9,40480,108,4.9,Bad Company,0.912415,0.91
6.5,52038,99,6.5,A Man of No Importance,0.406113,0.41
6.1,29444,96,6.1,S.F.W.,2.504529,2.5
6,26352,100,6,A Low Down Dirty Shame,3.021526,3.02
2,39953,91,2,"Boys Life: Three Stories of Love, Lust, and Liberation",0.054148,0.05
5.9,41580,110,5.9,Colonel Chabert,0.934312,0.93
6.5,315,83,6.5,"Faster, Pussycat! Kill! Kill!",4.220541,4.22
5.9,22067,119,5.9,Jason's Lyric,0.912909,0.91
7.1,18242,61,7.1,The Secret Adventures of Tom Thumb,0.381704,0.38
4.1,11667,102,4.1,Street Fighter,13.58449,13.58
6.7,32502,92,6.7,Coldblooded,2.342756,2.34
0,267188,97,0,Desert Winds,0.251223,0.25
6.3,28732,88,6.3,Fall Time,1.108494,1.11
3.4,75555,98,3.4,The Fear,0.268043,0.27
7.5,42981,89,7.5,Frank and Ollie,0.142357,0.14
10,278939,89,10,Girl in the Cadillac,0.405392,0.41
0,291731,97,0,Homage,0.014925,0.01
4,226229,92,4,Mirage,0.302957,0.3
0,203119,97,0,Open Season,0.012456,0.01
5,172923,0,5,Dos Crímenes,0.233376,0.23
4,316098,115,4,Brother Minister: The Assassination of Malcolm X,0.0368,0.04
4.5,8011,99,4.5,Highlander: The Final Dimension,6.866634,6.87
5,171857,97,5,Federal Hill,0.100685,0.1
7.1,2654,95,7.1,In the Mouth of Madness,8.497643,8.5
7.2,18069,105,7.2,8 Seconds,1.888534,1.89
6.7,19092,96,6.7,Above the Rim,4.38154,4.38
6.5,2758,94,6.5,Addams Family Values,17.555909,17.56
4.5,38129,84,4.5,Martin Lawrence: You So Crazy,0.394194,0.39
7,10436,139,7,The Age of Innocence,8.013617,8.01
5.8,13595,92,5.8,Airheads,7.09232,7.09
5.1,46094,107,5.1,The Air Up There,1.896273,1.9
4.9,9409,105,4.9,Another Stakeout,12.967239,12.97
4.6,11853,99,4.6,Bad Girls,14.644772,14.64
6.6,16771,100,6.6,Barcelona,1.632711,1.63
5,46924,122,5,Being Human,2.783872,2.78
5,11041,93,5,The Beverly Hillbillies,5.673735,5.67
5.5,306,104,5.5,Beverly Hills Cop III,11.787784,11.79
6.6,14522,88,6.6,Black Beauty,8.398845,8.4
6.3,26203,106,6.3,Blink,3.00282,3
6,178,121,6,Blown Away,13.155071,13.16
5.7,19819,108,5.7,Blue Chips,6.131056,6.13
6.1,57834,101,6.1,Blue Sky,4.993829,4.99
5.8,4722,87,5.8,Body Snatchers,6.559693,6.56
4.5,18215,107,4.5,Boxing Helena,4.304224,4.3
7.4,1607,121,7.4,A Bronx Tale,6.115628,6.12
4.9,26391,80,4.9,Cabin Boy,1.679042,1.68
3.7,117553,90,3.7,Calendar Girl,1.316741,1.32
7.7,6075,144,7.7,Carlito's Way,8.698509,8.7
4.9,11310,116,4.9,City Slickers II: The Legend of Curly's Gold,8.605703,8.61
5.7,18658,107,5.7,Clean Slate,2.724621,2.72
6.1,9350,112,6.1,Cliffhanger,9.830853,9.83
4.8,9612,88,4.8,Coneheads,10.722729,10.72
5.4,2124,121,5.4,Color of Night,14.228963,14.23
5,26261,93,5,Cops & Robbersons,7.042878,7.04
5.1,19176,102,5.1,The Cowboy Way,4.286279,4.29
5.4,49299,108,5.4,Dangerous Game,2.70097,2.7
6.3,11566,110,6.3,Dave,13.696394,13.7
7.4,9571,102,7.4,Dazed and Confused,6.8652,6.87
6.4,9739,115,6.4,Demolition Man,11.626116,11.63
7.1,24257,109,7.1,The Endless Summer 2,0.408159,0.41
4.2,34444,96,4.2,Even Cowgirls Get the Blues,2.970724,2.97
5.4,26141,91,5.4,Fatal Instinct,3.555139,3.56
7.8,10997,171,7.8,Farewell My Concubine,4.875827,4.88
3.3,50463,97,3.3,The Favor,1.344876,1.34
6.8,10443,122,6.8,Fearless,9.284624,9.28
5.8,20239,88,5.8,Fear of a Black Hat,0.985441,0.99
6.1,16297,103,6.1,With Honors,2.969003,2.97
6.2,18551,126,6.2,Flesh and Bone,1.896869,1.9
4.3,25440,101,4.3,Widows' Peak,0.409427,0.41
5.7,9024,94,5.7,For Love or Money,8.468869,8.47
6.6,37233,154,6.6,The Firm,9.678367,9.68
6,1634,112,6,Free Willy,5.990572,5.99
7.6,13815,114,7.6,Fresh,3.970215,3.97
7.2,5503,130,7.2,The Fugitive,10.08937,10.09
5.9,35588,115,5.9,Geronimo: An American Legend,4.653462,4.65
5.4,2087,115,5.4,The Getaway,14.214403,14.21
4.5,41579,109,4.5,Getting Even with Dad,2.410545,2.41
3.9,18620,83,3.9,Go Fish,0.775898,0.78
5.2,41006,94,5.2,A Good Man in Africa,5.22583,5.23
5.6,4916,107,5.6,Guilty as Sin,5.385108,5.39
6.1,2019,97,6.1,Hard Target,7.834351,7.83
6.4,31642,140,6.4,Heaven & Earth,4.190541,4.19
6.2,9255,86,6.2,Hot Shots! Part Deux,13.482371,13.48
4.7,26271,95,4.7,Live Nude Girls,2.138959,2.14
6.1,10612,99,6.1,The Englishman Who Went Up a Hill But Came Down a Mountain,5.331753,5.33
6.7,2259,140,6.7,The House of the Spirits,10.687795,10.69
4.6,16097,100,4.6,House Party 3,0.996047,1
7.1,11934,111,7.1,The Hudsucker Proxy,7.550545,7.55
5.7,106143,115,5.7,I'll Do Anything,1.742974,1.74
